Date,Year,IPO_Name,Issue_Size_Cr,Subscription_Times,Issue_Price,Listing_Open,Listing_Close,Listing_Gain_Pct,Current_Gain_Pct,Status
2021-02-05,2021,Stove Kraft,412.63,18.03,385.0,498.0,445.95,15.83,100.56,Winner
2021-02-03,2021,Home First,1153.72,26.66,518.0,612.15,527.4,1.81,15.83,Winner
2021-02-02,2021,Indigo Paints,1170.56,54.84,1490.0,2607.5,3118.65,109.31,74.16,Winner
2021-01-29,2021,IRFC,4633.0,1.16,26.0,25.0,24.85,-4.42,-11.54,Loser
2021-01-01,2021,Antony Waste,300.53,3.85,315.0,430.0,407.25,29.29,9.51,Winner
2020-12-24,2020,Bectors Food,540.54,198.02,288.0,501.0,595.55,106.79,48.58,Winner
2020-12-14,2020,Burger King,796.5,156.65,60.0,115.35,138.4,130.67,200.67,Winner
2020-11-20,2020,Gland,6479.55,2.06,1500.0,1710.0,1820.45,21.36,161.33,Winner
2020-11-02,2020,Equitas Bank,517.6,1.95,33.0,31.0,32.75,-0.76,91.52,Loser
2020-10-12,2020,UTI AMC,2159.88,2.31,554.0,476.2,476.6,-13.97,88.1,Loser
2020-10-12,2020,Mazagon Dock,443.69,157.41,145.0,216.25,173.0,19.31,78.97,Winner
2020-10-05,2020,Angel Broking,600.0,3.94,306.0,275.0,275.85,-9.85,287.86,Loser
2020-10-01,2020,CAMS,2244.33,46.99,1230.0,1535.0,1401.6,13.95,171.91,Winner
2020-10-01,2020,Chemcon Special,318.0,149.33,340.0,731.0,584.8,72.0,47.65,Winner
2020-09-21,2020,Route,600.0,73.3,350.0,708.0,651.1,86.03,489.46,Winner
2020-09-17,2020,Happiest Minds ,702.02,150.98,166.0,351.0,371.0,123.49,720.27,Winner
2020-07-23,2020,Rossari,496.25,2.97,425.0,670.0,742.35,74.67,192.55,Winner
2020-03-16,2020,SBI Card,10286.2,26.54,755.0,658.0,683.2,-9.51,37.28,Loser
2019-12-30,2019,Prince Pipes,500.0,2.21,178.0,160.0,166.6,-6.4,285.22,Loser
